DTXSID	canonical SMILES
DTXSID3026564	CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC
DTXSID1026906	CCCCCCCCCCCCN(C)C
DTXSID4020373	Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
DTXSID9020407	CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
DTXSID6025010	OC(CCl)CCl
DTXSID7035010	CC(=O)CC(c1ccccc1)[c-]1c(=O)oc2ccccc2c1=O.[Na+]
DTXSID7021605	O=C(O)CCCCC(=O)O
DTXSID5044572	OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID4029353	CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C
DTXSID6020561	ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
DTXSID1020221	CC(C)(C)c1ccc(O)cc1
DTXSID1025300	CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1
DTXSID0024553	NC(=O)N=NC(N)=O
DTXSID7025429	Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1
DTXSID1020510	Cc1c2ccccc2c(C)c2c1ccc1ccccc12
DTXSID2020634	O=c1[nH]cc(F)c(=O)[nH]1
DTXSID9034997	CCCCCCCCCCCCC(CCCC)C([PH3+])(CCCC)CCCC.[Cl-]
DTXSID1044487	CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-]
DTXSID3034456	Cc1ccccc1COC1CC2(C(C)C)CCC1(C)O2
DTXSID8037752	O=C(Oc1ccccc1)c1cccc(C(=O)Oc2ccccc2)c1
DTXSID1022394	COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
DTXSID3047558	C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID3026726	CC(C)=CCC[C@@H](C)CCO
DTXSID3047425	CCCCc1ccc(O)cc1
DTXSID8034324	CCOP(=S)(OCC)O/N=C(\C#N)c1ccccc1
DTXSID9022522	CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C
DTXSID8020040	ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl
